No,Year,Name,Duration,First,Final,Order,Score_Mean
13,2017,ゆにばーす,5,1,0,1,89.4285714285714
13,2017,カミナリ,7,0,0,2,88.2857142857143
13,2017,とろサーモン,16,1,1,3,92.1428571428571
13,2017,スーパーマラドーナ,15,1,0,4,91.4285714285714
13,2017,かまいたち,14,0,0,5,91.4285714285714
13,2017,マヂカルラブリー,11,1,0,6,86.7142857142857
13,2017,さや香,4,1,0,7,89.7142857142857
13,2017,ミキ,6,1,1,8,92.8571428571429
13,2017,和牛,12,0,1,9,93.2857142857143
13,2017,ジャルジャル,15,0,0,10,90.8571428571429
14,2018,見取り図,12,1,0,1,86.5714285714286
14,2018,スーパーマラドーナ,16,0,0,2,88.1428571428571
14,2018,かまいたち,15,0,0,3,90.8571428571429
14,2018,ジャルジャル,16,0,1,4,92.5714285714286
14,2018,ギャロップ,15,1,0,5,87.7142857142857
14,2018,ゆにばーす,6,0,0,6,84.8571428571429
14,2018,ミキ,7,0,0,7,91.1428571428571
14,2018,トム・ブラウン,10,1,0,8,90.4285714285714
14,2018,霜降り明星,6,1,1,9,94.5714285714286
14,2018,和牛,13,0,1,10,93.7142857142857
15,2019,ニューヨーク,10,1,0,1,88
15,2019,かまいたち,16,0,1,2,94.2857142857143
15,2019,和牛,14,0,0,3,93.1428571428571
15,2019,すゑひろがりず,9,1,0,4,91
15,2019,からし蓮根,7,1,0,5,91.2857142857143
15,2019,見取り図,13,0,0,6,92.7142857142857
15,2019,ミルクボーイ,13,1,1,7,97.2857142857143
15,2019,オズワルド,6,1,0,8,91.1428571428571
15,2019,インディアンス,10,1,0,9,90.2857142857143
15,2019,ぺこぱ,12,1,1,10,93.4285714285714
16,2020,インディアンス,11,0,0,1,89.2857142857143
16,2020,東京ホテイソン,6,1,0,2,88.1428571428571
16,2020,ニューヨーク,11,0,0,3,91.7142857142857
16,2020,見取り図,14,0,1,4,92.5714285714286
16,2020,おいでやすこが,2,1,1,5,94
16,2020,マヂカルラブリー,14,0,1,6,92.7142857142857
16,2020,オズワルド,7,0,0,7,91.7142857142857
16,2020,アキナ,9,0,0,8,88.8571428571429
16,2020,錦鯉,9,1,0,9,91.8571428571429
16,2020,ウエストランド,13,1,0,10,88.8571428571429
17,2021,モグライダー,13,1,0,1,91
17,2021,ランジャタイ,15,1,0,2,89.7142857142857
17,2021,ゆにばーす,9,0,0,3,91.1428571428571
17,2021,ハライチ,16,0,0,4,90.8571428571429
17,2021,真空ジェシカ,10,1,0,5,91.1428571428571
17,2021,オズワルド,8,0,1,6,95
17,2021,ロングコートダディ,13,1,0,7,92.7142857142857
17,2021,錦鯉,10,0,1,8,93.5714285714286
17,2021,インディアンス,12,0,1,9,93.5714285714286
17,2021,もも,5,1,0,10,92.1428571428571
