ID,Pref,Turnout,Subsidy
1,北海道,60.30363313,133.7550638240324
2,青森県,54.16871068,192.5301660090292
3,岩手県,59.14522374,265.2848389255152
4,宮城県,52.82889681,98.2150377223965
5,秋田県,60.56991782,218.73233614494904
6,山形県,64.06843642,186.83146735287394
7,福島県,56.69258742,165.9605126900395
8,茨城県,51.5320192,76.26134212161305
9,栃木県,51.65229126,72.81623892692774
10,群馬県,51.97047786,76.61269342300851
11,埼玉県,51.44059171,33.53710216799127
12,千葉県,49.89412683,34.39113226107726
13,東京都,53.63894754,0
14,神奈川県,51.97201634,12.636432602679633
15,新潟県,62.56055103,125.79014043716298
16,富山県,54.00058003,143.66450841540208
17,石川県,58.16127857,130.98623735884237
18,福井県,55.91885909,196.42280867193074
19,山梨県,60.70508082,183.7072800029684
20,長野県,60.39672347,113.62804363026626
21,岐阜県,56.54767755,102.02092512186833
22,静岡県,56.32088828,47.45245648106444
23,愛知県,54.65465623,15.82227326016741
24,三重県,57.08811449,91.3583132108811
25,滋賀県,56.31904686,100.10922170728996
26,京都府,50.90117499,78.16561215013385
27,大阪府,48.39433099,32.30159054992002
28,兵庫県,48.6206026,63.339962837623695
29,奈良県,55.66091807,133.17051092416924
30,和歌山県,52.95929558,208.38613272460302
31,鳥取県,56.43095844,279.779788803981
32,島根県,60.63590059,311.984191346479
33,岡山県,50.09394269,102.26049884038024
34,広島県,50.16692818,75.5265671380732
35,山口県,55.22842579,143.52637226117272
36,徳島県,46.47245878,227.17330572230753
37,香川県,53.08009859,131.71066514798142
38,愛媛県,50.73759693,141.71899625319278
39,高知県,51.86664088,278.4390666795578
40,福岡県,53.31358908,58.576443322854104
41,佐賀県,59.45987957,210.570650744881
42,長崎県,57.28598404,189.54390187520724
43,熊本県,57.02142547,138.97908720560582
44,大分県,56.98468664,170.68583715835965
45,宮崎県,50.48112789,195.09749843726553
46,鹿児島県,56.08554135,194.11113746172512
47,沖縄県,56.38128177,180.0939235078809
