ID,Pref,Finance,Over65,Turnout
1,北海道,0.46217,32.26169525,58.79
2,青森県,0.35801,33.69178672,52.93
3,岩手県,0.37248,33.81424488,60.38
4,宮城県,0.62649,28.43901171,55.87
5,秋田県,0.32157,37.60176891,58.24
6,山形県,0.37896,33.98364781,64.34
7,福島県,0.54482,31.82747782,58.01
8,茨城県,0.65584,30.30695165,52.54
9,栃木県,0.64821,29.56807414,53.06
10,群馬県,0.63796,30.88517283,53.89
11,埼玉県,0.77024,27.33046671,53.97
12,千葉県,0.77845,28.02413714,53.64
13,東京都,1.15019,23.29182641,57.21
14,神奈川県,0.88898,25.86951609,56.29
15,新潟県,0.47506,32.97734383,63.16
16,富山県,0.48457,32.92856662,55.68
17,石川県,0.51759,30.17642279,57.13
18,福井県,0.42058,31.06231604,57.77
19,山梨県,0.40857,31.14432553,60.57
20,長野県,0.52762,32.2887932,59.77
21,岐阜県,0.5593,31.11372648,58.1
22,静岡県,0.72648,30.66518494,54.81
23,愛知県,0.91216,25.83281948,55.97
24,三重県,0.60941,30.5888717,56.17
25,滋賀県,0.57552,26.7156111,57.33
26,京都府,0.59466,29.47202576,56.32
27,大阪府,0.79157,27.65828374,56.2
28,兵庫県,0.64914,29.32040652,54.29
29,奈良県,0.43666,31.72145353,59.13
30,和歌山県,0.33779,33.42465723,58.24
31,鳥取県,0.28689,32.47165791,58.16
32,島根県,0.2657,34.66565681,61.55
33,岡山県,0.53481,30.67966205,50.94
34,広島県,0.61848,29.79257052,52.13
35,山口県,0.45738,34.84153768,49.67
36,徳島県,0.32716,34.34980464,53.86
37,香川県,0.48747,32.14574257,56.09
38,愛媛県,0.44767,33.43252576,54.98
39,高知県,0.27382,35.61884555,57.34
40,福岡県,0.6582,28.21122404,52.12
41,佐賀県,0.35551,30.85767031,58.49
42,長崎県,0.34825,33.16013562,56.89
43,熊本県,0.42692,31.66006433,56.4
44,大分県,0.3954,33.53592996,57.26
45,宮崎県,0.35767,32.85051309,53.66
46,鹿児島県,0.35338,32.70229654,57.71
47,沖縄県,0.37469,22.70252515,54.9
